,delay_ms,ip_addr
0,662,14.223.62.208:8080
0,689,122.96.59.102:83
0,703,183.129.151.130:80
0,875,222.211.65.72:8080
0,922,119.181.12.112:8118
0,1173,222.161.209.164:8102
0,1398,27.12.252.200:8080
