,catepory,gra_son_cate,item_url,search_count,son_catepory
0,Computer & Office,Barebone System,http://www.aliexpress.com/category/100005072/barebone-system.html?site=glo&shipCountry=all,(37),Desktops & Servers
0,Food,Noodles,http://www.aliexpress.com/category/201/noodles.html?site=glo&shipCountry=all,(235),Grain Products
0,Food,none,http://www.aliexpress.com/category/200002418/dried-fruit.html,"1,407",Dried Fruit
0,Home Improvement,Metal Building Materials,http://www.aliexpress.com/category/200002622/metal-building-materials.html?site=glo&shipCountry=all,(41188),Basis Material
0,Food,Coffee Beans,http://www.aliexpress.com/category/200002417/coffee-beans.html?site=glo&shipCountry=all,(645),Coffee
0,Food,none,http://www.aliexpress.com/category/200114002/medlar.html,729,Medlar
0,Home Improvement,none,http://www.aliexpress.com/category/1333/other-home-improvement.html,"21,320",Other Home Improvement
0,Home Improvement,Wallpapers,http://www.aliexpress.com/category/1303/wallpapers.html?site=glo&shipCountry=all,(100702),Building Supplies
0,Security & Protection,Surveillance Accessories,http://www.aliexpress.com/category/200200003/surveillance-accessories.html?site=glo&shipCountry=all,(45114),Surveillance Products
0,Food,Blooming Tea,http://www.aliexpress.com/category/100006190/blooming-tea.html?site=glo&shipCountry=all,(9592),Tea
0,Computer & Office,Tablet Backup Powers,http://www.aliexpress.com/category/200004397/tablet-backup-powers.html?site=glo&shipCountry=all,(2),Tablet Accessories
0,Computer & Office,Printer Supplies,http://www.aliexpress.com/category/200004733/printer-supplies.html?site=glo&shipCountry=all,(831570),Office Electronics
